method_system,split,fpr_target,AUROC_defect_screening,AUPRC_defect_screening,TPR_defect@FPR,TPR_unknown@FPR,FPR_known_as_unknown@FPR,FPR_normal_realized,Specificity_normal,FalseAlarms_per_100,acc_3way,balanced_acc_3way,macro_f1_3way,train_sec,infer_sec_per_image,total_split_sec
one_stage_global_mahalanobis,split_c,0.2,0.8005395933523081,0.8614319902127054,0.6739130434782609,0.0769230769230769,0.1441144114411441,0.1760722347629796,0.8239277652370203,17.607223476297968,0.6452261306532663,0.4979367126965633,0.4916896779216292,433.793839931488,0.0113296796329057,595.1656749248505
one_stage_global_mahalanobis,split_d,0.05,0.5927280306725502,0.7481423697890495,0.1896984924623115,0.0091027308192457,0.1069258809234507,0.0530474040632054,0.9469525959367946,5.304740406320542,0.4108151735270379,0.3883489404294132,0.2973866802888477,399.9580478668213,0.0109069514794153,571.6155195236206
one_stage_global_mahalanobis,split_d,0.1,0.5927280306725502,0.7481423697890495,0.2556532663316583,0.0156046814044213,0.1130012150668286,0.0993227990970654,0.9006772009029346,9.932279909706546,0.4213075060532688,0.400202506739147,0.3231905417528904,399.9580478668213,0.0109069514794153,571.6211950778961
one_stage_global_mahalanobis,split_d,0.15,0.5927280306725502,0.7481423697890495,0.3197236180904522,0.0156046814044213,0.1190765492102065,0.164785553047404,0.835214446952596,16.478555304740404,0.4217110573042776,0.4022779030529871,0.3339977951068639,399.9580478668213,0.0109069514794153,571.6284816265106
one_stage_global_mahalanobis,split_d,0.2,0.5927280306725502,0.7481423697890495,0.3800251256281407,0.0169050715214564,0.1251518833535844,0.22686230248307,0.77313769751693,22.686230248307,0.4188861985472155,0.4010551635960275,0.3381304670099283,399.9580478668213,0.0109069514794153,571.6349704265594
two_stage_cflow,split_a,0.05,0.5788714499252616,0.6792740434489488,0.4910313901345291,0.004629629629629629,0.008695652173913044,0.35,0.65,35.0,0.3109919571045576,0.27038378958668813,0.22665671047652028,20852.0,5.841639812261374e-05,20852.043578632998
two_stage_cflow,split_a,0.1,0.5788714499252616,0.6792740434489488,0.5582959641255605,0.004629629629629629,0.017391304347826087,0.45666666666666667,0.5433333333333333,45.666666666666664,0.2868632707774799,0.25511808910359635,0.2222184296026599,20852.0,5.841639812261374e-05,20852.043578632998
two_stage_cflow,split_a,0.15,0.5788714499252616,0.6792740434489488,0.6591928251121076,0.013888888888888888,0.017391304347826087,0.58,0.42000000000000004,57.99999999999999,0.2801608579088472,0.2605716586151368,0.23148015640968655,20852.0,5.841639812261374e-05,20852.043578632998
two_stage_cflow,split_a,0.2,0.5788714499252616,0.6792740434489488,0.6905829596412556,0.018518518518518517,0.02608695652173913,0.66,0.33999999999999997,66.0,0.2613941018766756,0.248491680085883,0.21945169040905163,20852.0,5.841639812261374e-05,20852.043578632998
two_stage_cflow,split_b,0.05,0.5671784776902888,0.7124086278510765,0.3779527559055118,0.09333333333333334,0.004807692307692308,0.24333333333333335,0.7566666666666666,24.333333333333336,0.4084158415841584,0.403525641025641,0.34886779715279753,20852.0,4.811097277196144e-05,20852.038873666
